"Comment","Designator","Footprint","LCSC Part #"
"0402 22pf","C1,C6","C_0402_1005Metric","no_part_number"
"1uF 0402","C2","C_0402_1005Metric","no_part_number"
"10uF 0402","C3,C4,C5","C_0402_1005Metric","no_part_number"
"0402 LED","D1","LED_0402_1005Metric","no_part_number"
"Conn_01x12","J1,J2","PinHeader_1x12_P2.54mm_Vertical","no_part_number"
"Conn_01x03","J3","PinHeader_1x03_P2.54mm_Vertical","no_part_number"
"5.1K 0402","R2,R1","R_0402_1005Metric","no_part_number"
"22ohm 0402","R3,R4","R_0402_1005Metric","no_part_number"
"2.2K 0402","R5","R_0402_1005Metric","no_part_number"
"AT90USB162-16MU","U1","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm","no_part_number"
"HRO-TYPE-C-31-M-12","USB1","HRO-TYPE-C-31-M-12-Assembly","no_part_number"
"8MHz","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","no_part_number"
